Open,Close,High,Low,Stochastic_Oscillator,Wiki_5day_Disparity,Wiki_3day_Disparity,Google_MA_6,RSI_Move,Wiki_Move,Wiki_MA3_Move,Wiki_EMA5_Move,Wiki_RSI_Move,Wiki_5day_Disparity_Move,Google_EMA5_Move,Google_Move,Google_3day_Disparity_Move,Google_RSI_Move,Google_ROC_Move,Target
88.04639319,86.148628,88.44540578,85.16568983,14.17320363,0.952525253,1.001238719,4395,0,1,0,0,1,1,1,1,1,1,1,0
87.18023251,87.306747,87.63764259,85.5355032,31.57255974,0.995165394,1.029842886,5226.666667,1,1,1,1,1,1,1,1,1,1,1,0
85.49657149,89.85656,90.27504067,85.37979105,63.25298212,1.391774584,1.299092318,5456.666667,1,1,1,1,1,1,0,0,0,0,0,1
89.96360951,89.905212,90.57673038,88.95147027,63.8552864,0.939352592,0.869808307,5450,1,0,1,0,0,0,0,0,0,0,1,0
89.03905374,87.812813,89.98306918,87.0829049,39.08173251,0.897675724,0.840656934,5466.666667,0,0,0,0,0,0,0,0,1,0,1,0
88.60111883,88.338348,90.67405507,88.19237221,45.78149455,0.944221823,1.030841435,5556.666667,1,1,0,0,1,1,0,0,0,0,0,1
89.91495858,90.39183,90.78111633,89.18505037,71.96022815,0.940892092,1.02594281,5498.333333,1,1,1,0,1,0,0,1,1,1,0,0
89.5451296,89.399147,90.79083847,89.02932883,59.30504841,1.011227582,0.993169066,4743.333333,0,0,1,0,0,1,1,1,1,1,1,1
89.95387957,91.073074,91.63753824,89.95387957,80.64504018,0.996625813,0.986654659,4666.666667,1,0,0,0,0,0,0,0,0,0,0,1
91.53049461,90.586479,91.65700912,89.96362398,73.0013272,0.931467904,0.947729003,4635,0,0,0,0,0,0,0,1,1,1,1,1
91.54995085,91.64727,92.12414919,90.91736181,87.28691339,0.993518891,1.013496199,4670,1,1,0,0,1,1,1,1,1,1,1,1
92.45504028,93.496376,93.95378612,92.33825205,94.79511711,1.006176277,1.022288898,4630,1,1,0,1,1,1,0,0,0,0,0,1
93.64234565,93.856453,94.12895106,92.96109418,96.95983361,1.017775521,1.007203887,4625,1,1,1,1,1,1,1,1,1,1,1,1
93.85645455,93.535294,94.46957543,92.78591679,89.95815871,1.063840474,1.040019642,4625,0,1,1,1,1,1,1,1,1,1,1,0
93.34065778,92.455032,93.53529703,91.5304846,77.83728038,0.910906609,0.912382882,4648.333333,0,0,0,0,0,0,0,0,0,0,0,0
93.17520624,92.795654,93.71047513,92.0949412,81.58458599,1.007570023,1.012423935,4646.666667,1,1,0,1,1,1,0,0,0,0,0,1
93.66180998,90.625397,93.88565139,89.93441827,47.95790047,1.012686905,1.038729667,4671.666667,0,1,0,1,1,1,1,1,1,1,1,0
90.80058875,89.837105,90.80058875,87.86148765,37.28608293,1.050665072,1.034330554,4688.333333,0,1,1,1,1,1,0,0,0,0,0,1
91.04387727,91.734856,92.60101365,90.60592753,58.6155705,0.936313251,0.920689655,4691.666667,1,0,0,0,0,0,1,1,1,1,1,1
94.98537228,93.253059,95.27733941,91.39423026,72.70333228,0.868536052,0.893896127,4533.333333,1,0,0,0,0,0,0,0,0,0,0,0
93.74939821,91.014671,93.81752297,90.65458787,42.51950347,0.937199872,1.003618703,4508.333333,0,1,0,0,1,1,1,1,1,1,1,0
90.71298358,92.455032,92.73726412,90.30423697,61.9422353,0.982367071,1.03310688,4571.666667,1,1,0,0,1,1,1,1,1,1,1,1
